"Rua Janumas, Vila Ema",sp+sao-paulo+zona-leste,casas,120,1,2,1,1500,"Casa em Vila Santa Clara, São Paulo - SP - São Paulo",/imovel/aluguel-casa-2-quartos-vila-ema-zona-leste-sao-paulo-sp-120m2-id-2513342802/
Jardim Danfer,sp+sao-paulo+zona-leste,casas,250,3,4,4,5000,São Paulo - Casa Padrão - Jardim Danfer,/imovel/aluguel-casa-4-quartos-com-quintal-jardim-danfer-zona-leste-sao-paulo-sp-250m2-id-2514994200/
Chácara Califórnia,sp+sao-paulo+zona-leste,casas,106,1,2,1,2500,Sobrado com 02 dormitório para alugar no Tatuapé - São Paulo - SP,/imovel/aluguel-casa-2-quartos-chacara-california-zona-leste-sao-paulo-sp-106m2-id-2516409415/
"Rua Dona Maria Cândida de Lima, Vila Paulo Silas",sp+sao-paulo+zona-leste,casas,320,2,3,4,1800,"Casa para Locação em São Paulo, Vila Paulo Silas, 3 dormitórios, 1 suíte, 2 banheiros, 4 vagas",/imovel/aluguel-casa-3-quartos-vila-paulo-silas-zona-leste-sao-paulo-sp-320m2-id-2516271294/
São Mateus,sp+sao-paulo+zona-leste,casas,150,3,3,2,1500,São Paulo - Casa Padrão - CIDADE SÃO MATEUS,/imovel/aluguel-casa-3-quartos-sao-mateus-zona-leste-sao-paulo-sp-150m2-id-2516134498/
Tatuapé,sp+sao-paulo+zona-leste,casas,120,2,2,2,2300,São Paulo - Casa Padrão - TATUAPE,/imovel/aluguel-casa-2-quartos-com-area-de-servico-tatuape-zona-leste-sao-paulo-sp-120m2-id-2514571758/
"Rua Uhland, Vila Ema",sp+sao-paulo+zona-leste,casas,100,2,2,3,1400,"Casa com 2 dormitórios para alugar, 100 m² por R$ 1.400,00/mês - Vila Ema - São Paulo/SP",/imovel/aluguel-casa-2-quartos-com-cozinha-vila-ema-zona-leste-sao-paulo-sp-100m2-id-2514645388/
Penha De Franca,sp+sao-paulo+zona-leste,casas,250,2,3,4,2350,São Paulo - Casa Padrão - Penha de França,/imovel/aluguel-casa-3-quartos-penha-de-franca-zona-leste-sao-paulo-sp-250m2-id-2515443794/
Vila Popular,sp+sao-paulo+zona-leste,casas,130,2,2,2,2000,São Paulo - Casa Padrão - VILA POPULAR,/imovel/aluguel-casa-2-quartos-vila-popular-zona-leste-sao-paulo-sp-130m2-id-2515035688/
Vila Divina Pastora,sp+sao-paulo+zona-leste,casas,95,1,3,2,1800,SÃO PAULO - Casa Padrão - VILA DIVINA PASTORA,/imovel/aluguel-casa-3-quartos-com-sala-de-jantar-vila-divina-pastora-zona-leste-sao-paulo-sp-95m2-id-2515756276/
Cangaíba,sp+sao-paulo+zona-leste,casas,200,2,3,2,2500,"Casa com 3 dormitórios para alugar, 200 m² por R$ 2.500,00/mês - Cangaíba - São Paulo/SP",/imovel/aluguel-casa-3-quartos-com-quintal-cangaiba-zona-leste-sao-paulo-sp-200m2-id-2516136046/
"Rua Pedro de Resende, Tatuapé",sp+sao-paulo+zona-leste,casas,100,4,3,5,3200,Casa Térrea no Tatuapé,/imovel/aluguel-casa-3-quartos-tatuape-zona-leste-sao-paulo-sp-100m2-id-2514832622/
Vila Matilde,sp+sao-paulo+zona-leste,casas,150,2,3,1,1400,São Paulo - Casa Padrão - Vila Matilde,/imovel/aluguel-casa-3-quartos-com-quintal-vila-matilde-zona-leste-sao-paulo-sp-150m2-id-2516151790/
"Rua dos Cambistas, Vila Bancaria",sp+sao-paulo+zona-leste,casas,90,2,2,2,1100,São Paulo - Casa Padrão - Vila Bancária,/imovel/aluguel-casa-2-quartos-com-quintal-vila-bancaria-zona-leste-sao-paulo-sp-90m2-id-2516106738/
"Rua Adélia Maria Felícia de Souza, Vila Carmosina",sp+sao-paulo+zona-leste,casas,136,3,4,2,2200,Casa de 3 andares com 4 dormitórios e 1 suíte,/imovel/aluguel-casa-4-quartos-vila-carmosina-zona-leste-sao-paulo-sp-136m2-id-2516330006/
Parque da Vila Prudente,sp+sao-paulo+zona-leste,casas,180,2,2,2,2500,"Casa com 2 dormitórios para alugar, 180 m² por R$ 2.500,00/mês - Vila Prudente (Zona Leste) - São Pa",/imovel/aluguel-casa-2-quartos-com-churrasqueira-parque-da-vila-prudente-zona-leste-sao-paulo-sp-180m2-id-2516312383/
Água Rasa,sp+sao-paulo+zona-leste,casas,125,2,3,2,1800,São Paulo - Casa Padrão - Água Rasa,/imovel/aluguel-casa-3-quartos-com-churrasqueira-agua-rasa-zona-leste-sao-paulo-sp-125m2-id-2513894396/
"Rua Astorga, Vila Guilhermina",sp+sao-paulo+zona-leste,casas,135,3,3,3,2826,São Paulo - Casa Padrão - Vila Guilhermina,/imovel/aluguel-casa-3-quartos-mobiliado-vila-guilhermina-zona-leste-sao-paulo-sp-135m2-id-2516160449/
