"Rua Major Paladino, Vila Ribeiro De Barros",sp+sao-paulo+zona-oeste,casas,80,1,1,1,950,"Casa com 1 dormitório para alugar, 80 m² por R$ 950,00/mês - Vila Ribeiro de Barros - São Paulo/SP",/imovel/aluguel-casa-1-quarto-vila-ribeiro-de-barros-zona-oeste-sao-paulo-sp-80m2-id-2512083512/
"Rua Pepiguari, Alto da Lapa",sp+sao-paulo+zona-oeste,casas,238,3,5,4,8000,SãO PAULO - Casa Padrão - Alto Da Lapa,/imovel/venda-casa-5-quartos-com-quintal-alto-da-lapa-zona-oeste-sao-paulo-sp-238m2-id-2488182805/
"Rua Hayden, Vila Leopoldina",sp+sao-paulo+zona-oeste,casas,150,2,3,1,3500,"Sobrado para alugar, 150 m² por R$ 3.500,00/mês - Vila Leopoldina - São Paulo/SP",/imovel/aluguel-casa-3-quartos-vila-leopoldina-zona-oeste-sao-paulo-sp-150m2-id-2446364322/
"Rua Dácio Aguiar de Moraes, Vila Gomes",sp+sao-paulo+zona-oeste,casas,60,1,2,3,1250,"Casa Terrea para locação, amplo quintal - Vila Gomes - São Paulo - SP",/imovel/aluguel-casa-2-quartos-com-quintal-vila-gomes-zona-oeste-sao-paulo-sp-60m2-id-2515875173/
"Rua Charles D'Aviler, Jardim Das Palmas",sp+sao-paulo+zona-oeste,casas,125,3,3,2,2100,"Casa com 3 dormitórios para alugar, 125 m² por R$ 2.100,00/mês - Jardim das Palmas - São Paulo/SP",/imovel/aluguel-casa-3-quartos-com-churrasqueira-jardim-das-palmas-zona-oeste-sao-paulo-sp-125m2-id-2515635404/
"Rua José Cabral Pereira, Jaguaré",sp+sao-paulo+zona-oeste,casas,100,2,3,2,1700,Casa para aluguel com 100 metros quadrados com 3 quartos em Jaguaré - São Paulo - SP,/imovel/aluguel-casa-3-quartos-jaguare-zona-oeste-sao-paulo-sp-100m2-id-2514717314/
Perdizes,sp+sao-paulo+zona-oeste,casas,120,2,2,1,2700,AO LADO DO BAR DO SOUZA POMPEIA,/imovel/aluguel-casa-2-quartos-perdizes-zona-oeste-sao-paulo-sp-120m2-id-2516358997/
Jardim Iracema,sp+sao-paulo+zona-oeste,casas,60,1,2,2,1450,SÃO PAULO - Casa Padrão - JARDIM IRACEMA,/imovel/aluguel-casa-2-quartos-jardim-iracema-zona-oeste-sao-paulo-sp-60m2-id-2516061301/
"Rua João Plácido Viana, Jardim Ester Yolanda",sp+sao-paulo+zona-oeste,casas,110,3,2,2,2000,Casa para aluguel tem 110 metros quadrados com 2 quartos em Jardim Ester Yolanda - São Paulo - SP,/imovel/aluguel-casa-2-quartos-jardim-ester-yolanda-zona-oeste-sao-paulo-sp-110m2-id-2515370999/
"Rua Tiburtino, Siciliano",sp+sao-paulo+zona-oeste,casas,240,2,4,2,3600,"Sobrado com 4 dormitórios para alugar, 240 m² por R$ 3.600,00 - Siciliano - São Paulo/SP",/imovel/aluguel-casa-4-quartos-siciliano-zona-oeste-sao-paulo-sp-240m2-id-2514570477/
