,ID,NOME,ENDERECO,longitude,latitude
0,1,Monteiro Lobato (Inclui Ônibus Biblioteca),"R Gal Jardim, 485",-46.649495184223206,-23.545050152521288
1,2,CEU Três Pontes,"R Capachós, s/n",-46.38171289713914,-23.478445335650882
2,3,Paulo Leminski - CEU Parque Veredas,"R Daniel Pedro Muller, s/n- Camargo Velho",-46.39019014094071,-23.513291550505617
3,4,Ponto de Leitura Severino do Ramo,"R Barão de Alagoas, 340",-46.397535213465304,-23.49824842996539
4,5,Ponto de Leitura André Vital,"Av dos Metal·rgicos, 2255",-46.399388770748,-23.60093108652187
5,6,CEU Lajeado,"R Manuel da Mota Coutinho, 293",-46.40098847709358,-23.544646656313258
6,7,Ponto de Leitura Parque do Rodeio,"R Igarapé da Bela Aurora, s/n",-46.40428473983689,-23.57514780829886
7,8,Bosque de Leitura Parque Lajeado,"R Antônio Thadeu, 74",-46.40572858607984,-23.54395364664823
8,9,CEU Água Azul,"Av dos Metal·rgicos, 1262",-46.40666488472179,-23.594178915333103
9,10,Ponto  de Leitura Juscelino Kubitschek,"R Inácio Monteiro, 55",-46.40769871587223,-23.56402474324187
10,11,Cora Coralina,"R Otelo A. Ribeiro, 113",-46.41008469445341,-23.5447065831309
11,12,Jamil Almansur Haddad,"R Andes, 491-A",-46.410144686960386,-23.537536534557823
12,13,Adelaide de Castro Alves Guimarães - CEU Inácio Monteiro,"R Br Barroso do Amazonas, s/n -  Prestes Maia",-46.41184381089961,-23.57009575355702
13,14,João Cabral de Mello Neto - CEU Vila Curuþß,"Av Marechal Tito, 3.400 -V. Curucá",-46.41259152825108,-23.49536029811859
14,15,Vicente Paulo Guimarães,"R Jaguar, 225",-46.421024697842235,-23.501781286605045
15,16,Ponto de Leitura Vila Mara,"R Conceicão do Almeida, 170",-46.42182666198664,-23.49192016818394
16,17,Eugênia Alvaro Moreyra - CEU Jambeiro,"R Flores do Jambeiro, 61 - Guaianases",-46.422876920739,-23.539289438483866
17,18,CEU Alto Alegre,"R Bento Guelfi, s/n",-46.42711725493302,-23.60955386056061
18,19,Ponto de Leitura Tide Setubal,"R Mario Dalari, 170",-46.429831819599336,-23.498886167279167
19,20,Vinicius de Morais,"R Jardim Tamoio, 1.119 - Itaquera II",-46.43612420115309,-23.55373044002689
20,21,Raimundo de Menezes,"Av Nordestina, 780",-46.43764794911762,-23.49532004559235
21,22,Vicente de Carvalho,"R Guilherme ValÛncia, 210",-46.44064826003711,-23.55006837287855
22,23,Ponto de Leitura Jardim Lapenna,"R Serra da Juruoca, s/n - Jardim Lapenna - São  Miguel Paulista",-46.44955113172352,-23.487640905928295
23,24,Camilo Pedro dos Reis - CEU São  Mateus,"R Curumatim, 201 - Pque Boa Esperança",-46.44956570485895,-23.60258767273772
24,25,Sergio Buarque de Holanda,"R Victório Santim, 44",-46.45469039412327,-23.53667121876396
25,26,Mario Palmério - CEU São  Rafael,"R Cinira Polônio, 100 - j. Rio Claro",-46.456739865223405,-23.62045270814776
26,27,CEU Azul da Cor do Mar,"Av Ernesto Souza Cruz, 2171",-46.45738937934856,-23.521901100992327
27,28,Bosque de Leitura do Carmo,"Av Afonso de Sampaio e Souza, 951",-46.469017873034694,-23.57042930387774
28,29,Ponto de Leitura São Mateus ( Inaug. 16-12-10),"R Fortaleza de Itapema, 268",-46.472158126126956,-23.618171559047894
29,30,Barbosa Lima Sobrinho CEU Parque São  Carlos,"R Clarear, 141 - Jdim. São  Carlos",-46.47384367438928,-23.509963888736227
30,31,Rubens Borba Morais,"R Sampei Sato, 440",-46.48074466690988,-23.486448696337472
31,32,Jovina Rocha Alvares  Pessoa,"Av Padre Francisco de Toledo, 331 - Cohab I",-46.48507604002106,-23.546511069137004
32,33,CEU Sapopemba,R Manuel Quirino de Mattos com R Victoria Marconato Santos,-46.4944315581468,-23.60958833823108
33,34,CEU Quinta do Sol,Av Luís Imparato com Av Olavo Egídio de Souza Aranha,-46.49627794449482,-23.49837164673122
34,35,Juo Bananere - CEU Rosa da China,"R Clara Petrella, s/n - Jd. São  Roberto",-46.500895653379466,-23.62147537525107
