pt_nome,pt_enderec,longitude,latitude
"TERM. CAMPO LIMPO , 0",CAMPINA GRANDE/ AV VITOR GABRIEL,-46.77367406429134,-23.630952206440657
"TERM. S. MATEUS - PLAT. C , 0",AV SAPOPEMBA/ PC FELISBERTO FERNANDES DA SILVA,-46.476316870898714,-23.613980351826434
"AV. SOUZA RAMOS , 406",LOJAS DE DOCE KAROL,-46.4103791904335,-23.582307604144148
"R. CARDOSO DE MELO NETO , 497",DOS CURIMATAS/ R DELFIM DO PRATA,-46.6423376525625,-23.699539066544386
"R. MORUBIXABA , 440",CARLOS JOSE DE CASTILHO/ R SEIS,-46.47959681673864,-23.562197248178677
"ESTR. MORRO DOS OLHOS D'ÁGUA , 382",MARIA MARGARIDA/ R CARRETEIRO,-46.45640359854814,-23.562810355307725
"R. VOLUNTÁRIOS DA PÁTRIA , 3566",DR. GUILHERME CRISTOFEL/ R TOME FERREIRA,-46.62662105910578,-23.488989704237675
"PÇA. PRES. JÂNIO DA SILVA QUADROS , 281",V-PED ALVURA,-46.58370769072271,-23.500165854637256
"AV. SAPOPEMBA (ESTR. DO RIO CLARO) , 0",VICENTE COSTA NOGUERAS/ R CINIRA POLONIO,-46.449215622427616,-23.62266649587467
"AV. ROQUE PETRONI JÚNIOR , 999",AV DOUTOR CHUCRI ZAIDAH,-46.69667452017952,-23.623435952841977
"R. BAIÃO PARENTE , 596",AVENIDA ITABERABA,-46.695309666667434,-23.49204358298786
"AV. DOS SERTANISTAS , 522",UA CAMPO DE PIRATININGA,-46.446917605368576,-23.626092512981142
"R. FRANCISCO ALARICO BERGAMO , 754",FRANCISCO SALLES MALTA JUNIOR/ R VICENTE DUTRA,-46.45513452593751,-23.52394729093868
"R. FLOR DE SANTA CRUZ , 318",Próximo a Rua Nicolau Campanella,-46.448023453433635,-23.519753314878997
"AV. BRIG. LUÍS ANTÔNIO , 878",HUMAITA/ R CONDESSA DE SAO JOAQUIM,-46.64116758262587,-23.55755681927959
"R. DOS PEDREIROS , 0",TIBERIO FRONTINI/ R LUIS VERONEZI,-46.39857410621188,-23.60360070098957
"AV. MONTEMAGNO , 2808",PEDRO LAROCHE/ TR ANTONIO LUIS,-46.539173486984645,-23.573594081629945
"VIAD. MIE KEN , 0",ua da Glória,-46.634421501676044,-23.556649833236808
"AV. INTERCONTINENTAL , 330",SARGENTO ESTANISLAU CUSTODIO/ R ENGENHEIRO ARTUR DE MIRANDA,-46.751537750929906,-23.60217401552595
"AV. NOVA INDEPENDÊNCIA , 632",TAPEROA/ R PREBIXIM,-46.69085634450811,-23.602661886745103
"R. MARIA AMALIA LOPES DE AZEVEDO , 2927",NOSSA SENHORA DA CONCORDIA/ R ANTONIO ALVAREZ AIRAO,-46.59851070617112,-23.45667064405463
"AV. PRES. TANCREDO NEVES , 3583",UA MAURICIO MATTAR,-46.61179758524148,-23.621424992666782
"AV. OLAVO FONTOURA , 1400",HOSPITAL DA AERONAUTICA,-46.64536736747552,-23.51550873843221
"AV. AFONSO DE SAMPAIO E SOUSA , 1800",ESTEVAO DIAS VERGARA/ R FREI CRISTOVAO SEVERIM,-46.475991801964575,-23.573932284879394
"R. REV. ISRAEL VIEIRA FERREIRA , 615",AV NSRA DO LORETO/ R FRANCISCO MEDEIROS JORDAO,-46.58593468729395,-23.491034814593835
"ROD. ANHANGUERA , 0",PEDRO JOSE DE LIMA/,-46.786840128329274,-23.44140203067593
"R. FERNANDES PINHEIRO , 143",MELO FREIRE/ R PLATINA,-46.5723287449844,-23.54088595017773
"AV. SAPOPEMBA , 25826",Cinira Polonio,-46.45403466646852,-23.62094146981226
"R. IBIRAREMA , 332",TRISTAO MARIANO/ R PORANGABA,-46.62758772766832,-23.609852937493983
"ESTR. ENG. MARSILAC , 1815",,-46.73857016718802,-23.83926347379229
"R. ERVA DE SANTA LUZIA , 268",UA HORTELÃ/RUA CARLO BIBIENA,-46.41716714010963,-23.49045739463505
"AV. AURO SOARES DE MOURA ANDRADE , 0",Av. Antártica / R. Prof. Abrahão Berezin,-46.67138168596672,-23.525763705097265
"AV. NSA. SRA. DO SABARÁ , 1570",SANTO ALBERTO/ R MONSENHOR ALFREDO PEREIRA SAMPAIO,-46.68945578696701,-23.669054038734984
"AV. ANTÔNIO MUNHOZ BONILHA , 640",SAO LEANDRO/ R ELIAS DA COSTA,-46.68378460148753,-23.498293633444003
"AV. LUCILO DE ALMEIDA , 273",PADRE JUSTINO/ R ISAIAS TARANDACH,-46.75370000061773,-23.64187819291337
"R. PAJUÇARA , 161",PAULO GARCIA AQUILINE,-46.683401477954405,-23.468080460991754
"R. DOZE DE OUTUBRO , 347",CLEMENTE ALVARES/ R ANTONIO RAPOSO,-46.704780909246566,-23.520968682977266
"R. RAUL BISPO DOS SANTOS , 0",ACALANTO/ R ALVARO CARLOS LEAL,-46.64287110065323,-23.457655511845452
"R. DR. PAULO QUEIROZ , 1080",FRANCISCO DE MAGALHAES,-46.48598192398493,-23.59005126601349
"R. LUÍS GOIS , 2021",LEANDRO DUPRE,-46.64786395118308,-23.6040598816057
"R. JARDIM TAMOIO , 53",CARAMBOLA/ R SABBADO D ANGELO,-46.44474447664872,-23.55509039456736
"AV. EDUCADOR PAULO FREIRE , 0",SABESP,-46.56061251848824,-23.51284493030123
"R. SATURNINO DE SOUZA , 525",EMB.  OSVALDO TAVARES,-46.494044929331544,-23.548265158932466
"AV. BENTO GUELFI , 2748",ESTRADA DOS FIDELIS - OPOSTO,-46.42325436084897,-23.615727607032238
"R. VERGUEIRO , 1485",TUPINAMBAS/ R CORREIA DIAS,-46.64078168580427,-23.575200849746274
"R. JOSÉ FUGULIM , 46",SAO CANUTO/ R OLGA MIL HOMENS COSTA,-46.67579488980867,-23.6847880168545
"R. RUBEM SOUTO DE ARAÚJO , 1077",VIRIATO LEAO DE MOURA/ AV CARLOS OBERHUBER,-46.70720274987092,-23.74113224267291
"AV. AMADOR BUENO DA VEIGA , 1652",GILBERTO NATALIO REGATIERI/ R PICO DO PAPAGAIO,-46.52992024082021,-23.521754017021646
"R. LOEFGREEN , 672",JAIME VIANA/ R JOSE ALVES PASSOS,-46.63240273032096,-23.59971790972445
"AV. ZAKI NARCHI , 1503",AV GENERAL ATALIBA LEONEL/ R DOM JOSE MAURICIO,-46.61552001143285,-23.504134787934646
"R. JUAZEIRO DO NORTE , 298",RIO TAPACURA,-46.48780583910792,-23.529587155344284
"R. PEIXOTO MELO FILHO , 0",CESAR COSTA/ R PADRE JOSE GIANNELLA,-46.66386675790238,-23.681991982672123
"R. S. FLORÊNCIO , 1464",ESIDENCIAL SOLAR,-46.53086221601284,-23.5089989933924
"R. PST. RUBENS LOPES , 400",UA PUBLICO PIMENTEL,-46.6509894982157,-23.675847997139936
"ESTR. DO LAGEADO VELHO , 670",SERRA DAS ARARAS/ R JOAO MARCHI,-46.40277905549456,-23.53586054811048
"R. DR. DJALMA PINHEIRO FRANCO , 89",AV SANTA CATARINA,-46.66316844932581,-23.648957920781694
"R. PEDRO DOLL , 96",CANTO DO JUNCO/ R JOSE DOLL DE MORAES,-46.62727007343202,-23.491536714202404
"ROD. RAPOSO TAVARES , 5909",JOSE SILVANO FILHO/ R NORONHA SANTOS,-46.768605764099256,-23.584431966625576
