nomesc,latitude,longitude
"ALIPIO CORREA NETO, PROF.",-23.612237,-46.749888
"ANTONIO CARLOS PACHECO E SILVA, PROF.",-23.611929,-46.750176
"EDA TEREZINHA CHICA MEDEIROS, PROFA.",-23.602076,-46.783825
"MARIA ALICE BORGES GHION, PROFA.",-23.586959,-46.801039
"BENEDICTO CASTRUCCI, PROF.",-23.586339,-46.800967
"MARIA APARECIDA VITA PIANTE, PROFA.",-23.572618,-46.749749
"CAMILLO ASHCAR, PROF.",-23.602364,-46.782606
"MORENO, CTE.",-23.595787,-46.765135
"ILEUSA CAETANO DA SILVA, PROFA.",-23.59983,-46.776741
"MARIAZINHA REZENDE FUSARI, PROFA",-23.595364,-46.790479
"DAISY AMADIO FUJIWARA, PROFA.",-23.595554,-46.787957
BUTANTA,-23.582405,-46.750786
BUTANTA,-23.582405,-46.750786
RIO PEQUENO I,-23.577176,-46.765373
UIRAPURU,-23.600301,-46.78911
VILA MUNCK,-23.591632,-46.800487
JARDIM PAULO VI,-23.602771,-46.786377
"JORGE ADILSON CANDIDO, PROF.",-23.596993,-46.745229
"LEILA GALLACCI METZKER, PROFA",-23.597373,-46.752566
"CESAR ARRUDA CASTANHO, DEP.",-23.600301,-46.78911
MONTE CASTELO,-23.569457,-46.708159
EMIR MACEDO NOGUEIRA,-23.576872,-46.731083
ANTONIO BENTO,-23.579371,-46.7157
"DALMO DO VALLE NOGUEIRA, DES.",-23.59739,-46.734287
"JOAO NEGRAO, CEL.",-23.597518,-46.756263
ALUISIO DE ALMEIDA,-23.587453,-46.767826
"CAROLINA RIBEIRO, PROFA.",-23.594829,-46.788253
"NIDA MALDI CORAZZA, EDUCADORA",-23.573295,-46.761251
"RONALDO PORTO MACEDO, PROF.",-23.557433,-46.759017
"GILBERTO CHAVES, DEP.",-23.583511,-46.792136
CAROLINA MARIA DE JESUS,-23.56487,-46.76426
FERNANDO PESSOA,-23.593766,-46.759286
TIDE SETUBAL,-23.586862,-46.683957
PEDROSO DE MORAES,-23.56846,-46.687804
"ANTONIO BRANCO LEFEVRE, PROF.",-23.557055,-46.670438
"ZILDA DE FRANCESCHI, PROFA.",-23.553758,-46.691257
"ISABEL COLOMBO, PROFA.",-23.606955,-46.691255
JOSE DE ALCANTARA MACHADO FILHO,-23.607777,-46.705278
"AMORIM LIMA, DES.",-23.574501,-46.729251
"THEODOMIRO DIAS, DES.",-23.594471,-46.730758
"DEODORO DA FONSECA, MAL.",-23.582733,-46.72403
"ARTHUR WHITAKER, DES.",-23.596402,-46.735918
TARSILA DO AMARAL,-23.597878,-46.756771
"ALIPIO ANDRADA SERPA, TTE.",-23.58834,-46.772909
"ALCIDES GONCALVES ETCHEGOYEN, GEN.",-23.594749,-46.791369
JOAO XXIII,-23.598579,-46.792166
