,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,brand,brand:wikidata,brand:wikipedia,cuisine,drive_through,name,outdoor_seating,takeaway,wheelchair,latitude,longitude,id,created_by,FIXME,phone,website,addr:country,start_date,toilets:wheelchair,contact:email,contact:fax,contact:phone,contact:website,opening_hours,operator,addr:state,fixme,internet_access,capacity,email,alt_name,shop,description,wpt_symbol,source,addr:suburb,contact:mobile,delivery,smoking,official_name,payment:credit_cards,food,internet_access:fee,internet_access:ssid,contact:facebook,contact:twitter,diet:vegetarian,name:en,entrance,int_name,wifi,address:number,url,addr:housename,brand:website,ele,note,brewery,old_name,name:pt,phone_1,diet:vegan,self_service,air_conditioning,reservation,access,drinking_water,fee,toilets:disposal,toilets:position,opening_hours:covid19,atm,contact:instagram,short_name,name:ja,wheelchair:description,survey:date,wikidata,drive_in,organic,level,min_age,building,contact:soundcloud,contact:youtube,height,addr,tourism,name:nl,amenity_1,mapillary,name:ko,name:fr,diet:gluten_free,addr:full,is_in,source:date,payment:cheque,contact:whatsapp,addr:unit,fax,payment:debit_cards,location,wikipedia,addr:district,name:zh,drink:beer,payment:cash,payment:maestro,payment:mastercard,payment:visa,payment:visa_debit,payment:visa_electron,diet:raw,operator:wikidata,payment:cards,payment:coins,lgbtq,store,name:es,ref,microbrewery,sport,delivery:covid19,bar,diet:meat,drink:wine,covered,name:ru,diet:lactose_free,departures_board,shelter,addr:province
0,São Paulo,124,05413-010,Rua Henrique Schaumann,fast_food,McDonald's,Q38076,en:McDonald's,burger,no,McDonald's,yes,yes,yes,-23.5633723,-46.6782804,142773190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,pub,,,,,,,,,,-23.5455333,-46.5663888,181854121,Potlatch 0.5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,pub,,,,,,,,,,-23.5457536,-46.5663459,181854183,Potlatch 0.5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,pub,,,,,,,,,,-23.5456671,-46.5660970,181854249,Potlatch 0.5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,restaurant,,,,,,Artesanal,,,,-23.5454466,-46.5661400,181854294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,restaurant,,,,,,Gauchão,,,,-23.5273007,-46.5769501,185633494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,restaurant,,,,,,Restaurante Ches,,,,-23.5569597,-46.7500930,395048585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,restaurant,,,,,,Alpha Point,,,,-23.4949506,-46.8492427,435264989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,restaurant,,,,,,America,,,,-23.4928900,-46.8515879,435883733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,restaurant,,,,,,Novilho de Prata,,,,-23.4928900,-46.8512532,435883734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
